"idx","session","sess","cond","block","trial","trial_within_block","rt","action","outcome","score","reversal","choice","opt_act","opt"
6,"fmri","fMRI","Mixed",1,1,1,1.833,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,2,2,4.3,0,0,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,3,3,3.85,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,4,4,1.451,0,0,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,5,5,4.65,0,0,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,6,6,0.917,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,7,7,9.933,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,8,8,0.816,0,0,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,9,9,2.467,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,10,10,0.233,0,1,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,11,11,1.9,1,0,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,12,12,0.667,0,1,150,1,1,0,0
6,"fmri","fMRI","Mixed",1,13,13,2.3,1,0,150,0,0,1,0
6,"fmri","fMRI","Mixed",1,14,14,1.917,0,1,150,0,1,1,1
6,"fmri","fMRI","Mixed",1,15,15,3.05,0,1,150,0,1,1,1
6,"fmri","fMRI","Mixed",1,16,16,0.166,1,1,150,0,0,1,0
6,"fmri","fMRI","Mixed",1,17,17,1.717,1,0,150,0,0,1,0
6,"fmri","fMRI","Mixed",1,18,18,0.733,0,0,150,0,1,1,1
6,"fmri","fMRI","Mixed",1,19,19,3.05,0,1,150,0,1,1,1
6,"fmri","fMRI","Mixed",1,20,20,0.95,1,0,150,0,0,1,0
6,"fmri","fMRI","Mixed",1,21,21,1.667,1,0,150,0,0,1,0
6,"fmri","fMRI","Mixed",1,22,22,0.483,0,1,150,0,1,1,1
6,"fmri","fMRI","Mixed",1,23,23,3.616,0,1,150,0,1,1,1
6,"fmri","fMRI","Mixed",1,24,24,0.45,1,0,150,1,0,1,0
6,"fmri","fMRI","Mixed",1,25,25,1.95,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,26,26,0.2,0,1,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,27,27,1.734,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,28,28,0.9,0,0,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,29,29,1.434,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,30,30,0.517,0,0,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,31,31,1.283,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,32,32,0.8,0,0,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,33,33,0.867,1,1,150,0,0,0,1
6,"fmri","fMRI","Mixed",1,34,34,0.416,0,0,150,0,1,0,0
6,"fmri","fMRI","Mixed",1,35,35,1.133,1,1,150,0,0,0,1
6,"fmri","fMRI","Positive",3,36,1,1.766,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,37,2,1.45,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,38,3,1.267,1,0,170,0,0,0,1
6,"fmri","fMRI","Positive",3,39,4,0.85,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,40,5,1.199,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,41,6,0.766,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,42,7,0.6,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,43,8,0.516,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,44,9,0.733,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,45,10,0.717,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,46,11,0.65,1,1,170,0,0,0,1
6,"fmri","fMRI","Positive",3,47,12,0.667,1,1,170,1,0,0,1
6,"fmri","fMRI","Positive",3,48,13,0.066,1,0,170,0,0,1,0
6,"fmri","fMRI","Positive",3,49,14,0.667,1,0,170,0,0,1,0
6,"fmri","fMRI","Positive",3,50,15,0.317,1,0,170,0,0,1,0
6,"fmri","fMRI","Positive",3,51,16,0.317,1,0,170,0,0,1,0
6,"fmri","fMRI","Positive",3,52,17,0.4,1,0,170,0,0,1,0
6,"fmri","fMRI","Positive",3,53,18,0.534,1,0,170,0,0,1,0
6,"fmri","fMRI","Positive",3,54,19,1.483,0,1,170,0,1,1,1
6,"fmri","fMRI","Positive",3,55,20,0.733,0,1,170,0,1,1,1
6,"fmri","fMRI","Positive",3,56,21,0.183,0,1,170,0,1,1,1
6,"fmri","fMRI","Positive",3,57,22,0.334,0,1,170,0,1,1,1
6,"fmri","fMRI","Positive",3,58,23,0.717,0,0,170,0,1,1,1
6,"fmri","fMRI","Positive",3,59,24,0.533,0,1,170,1,1,1,1
6,"fmri","fMRI","Positive",3,60,25,0.5,0,1,170,0,1,0,0
6,"fmri","fMRI","Positive",3,61,26,0.45,0,0,170,0,1,0,0
6,"fmri","fMRI","Positive",3,62,27,0.683,0,0,170,0,1,0,0
6,"fmri","fMRI","Positive",3,63,28,0.133,0,0,170,0,1,0,0
6,"fmri","fMRI","Positive",3,64,29,0.234,0,1,170,0,1,0,0
6,"fmri","fMRI","Positive",3,65,30,0.8,0,0,170,0,1,0,0
6,"fmri","fMRI","Positive",3,66,31,0.283,0,0,170,0,1,0,0
6,"fmri","fMRI","Positive",3,67,32,0.317,0,0,170,0,1,0,0
6,"fmri","fMRI","Positive",3,68,33,0.284,0,0,170,0,1,0,0
6,"fmri","fMRI","Positive",3,69,34,0.8,0,0,170,0,1,0,0
6,"fmri","fMRI","Positive",3,70,35,0.016,1,1,170,0,0,0,1
6,"fmri","fMRI","Negative",2,71,1,4.3,1,1,-20,0,0,1,0
6,"fmri","fMRI","Negative",2,72,2,0.05,0,0,-20,0,1,1,1
6,"fmri","fMRI","Negative",2,73,3,1.466,1,0,-20,0,0,1,0
6,"fmri","fMRI","Negative",2,74,4,0.783,0,1,-20,0,1,1,1
6,"fmri","fMRI","Negative",2,75,5,1.349,1,1,-20,0,0,1,0
6,"fmri","fMRI","Negative",2,76,6,1.283,0,0,-20,0,1,1,1
6,"fmri","fMRI","Negative",2,77,7,4.184,1,0,-20,0,0,1,0
6,"fmri","fMRI","Negative",2,78,8,0.583,0,1,-20,0,1,1,1
