"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","5-HT","Pre-Stim",3,1,NA,-5.17075420361577
"A","trial","RL","5-HT","Pre-Stim",3,2,NA,-5.62469125644257
"A","trial","RL","5-HT","Pre-Stim",3,3,NA,-4.33105869999043
"A","trial","RL","5-HT","Pre-Stim",3,4,NA,-4.51234452567482
"A","trial","RL","5-HT","Pre-Stim",3,5,NA,-5.56200975361046
"A","trial","RL","5-HT","Pre-Stim",3,6,NA,2.98982370381751
"A","trial","RL","5-HT","Pre-Stim",3,7,NA,-8.3028497783223
"A","trial","RL","5-HT","Pre-Stim",3,8,NA,0.23153770700258
"A","trial","RL","5-HT","Pre-Stim",3,9,NA,-5.44561320818452
"A","trial","RL","5-HT","Pre-Stim",3,10,NA,-10.0103183550613
"A","trial","RL","5-HT","Pre-Stim",3,11,NA,-5.02415260506532
"A","trial","RL","5-HT","Pre-Stim",3,12,NA,-1.35889465608531
"A","trial","RL","5-HT","Pre-Stim",3,13,NA,-3.42562743228488
"A","trial","RL","5-HT","Pre-Stim",3,14,NA,-3.96609388806696
"A","trial","RL","5-HT","Pre-Stim",3,15,NA,-0.622424428960272
"A","trial","RL","5-HT","Pre-Stim",3,16,NA,-1.99065736779176
"A","trial","RL","5-HT","Pre-Stim",3,17,NA,-2.52076798013121
"A","trial","RL","5-HT","Pre-Stim",3,18,NA,0.556163238372971
"A","trial","RL","5-HT","Pre-Stim",3,19,NA,1.08204397140719
"A","trial","RL","5-HT","Pre-Stim",3,20,NA,-0.516916381111204
"A","trial","RL","5-HT","Pre-Stim",3,21,NA,-2.65578078682496
"A","trial","RL","5-HT","Pre-Stim",3,22,NA,-2.55628380195569
"A","trial","RL","5-HT","Pre-Stim",3,23,NA,0.255648262795509
"A","trial","RL","5-HT","Pre-Stim",3,24,NA,-0.879751133407702
"A","trial","RL","5-HT","Pre-Stim",3,25,NA,-3.22663688605866
"A","trial","RL","5-HT","Pre-Stim",3,26,NA,-0.65473524237141
"A","trial","RL","5-HT","Pre-Stim",3,27,NA,-1.09417909240308
"A","trial","RL","5-HT","Pre-Stim",3,28,NA,-0.279236642949199
"A","trial","RL","5-HT","Pre-Stim",3,29,NA,-0.180997912206403
"A","trial","RL","5-HT","Pre-Stim",3,30,NA,1.86849261569619
"A","trial","RL","5-HT","Pre-Stim",3,31,NA,0.781364448417545
"A","trial","RL","5-HT","Pre-Stim",3,32,NA,0.817340140369959
"A","trial","RL","5-HT","Pre-Stim",3,33,NA,-1.61288480901912
"A","trial","RL","5-HT","Pre-Stim",3,34,NA,2.64055008782024
"A","trial","RL","5-HT","Pre-Stim",3,35,NA,-0.158325842930438
