"panel","level","task","nt","stim","idx","trial","Oz"
"A","subject","RL","NE","Pre-Stim",3,NA,-4.93265043747994
"A","subject","RL","NE","Post-Stim",3,NA,5.18040163341753
"A","subject","RL","NE","Pre-Stim",4,NA,3.62750729564801
"A","subject","RL","NE","Post-Stim",4,NA,-3.29210779386399
"A","subject","RL","NE","Pre-Stim",5,NA,0.600277741652677
"A","subject","RL","NE","Post-Stim",5,NA,-0.786950637306027
"A","subject","RL","NE","Pre-Stim",6,NA,-2.0954086399323
"A","subject","RL","NE","Post-Stim",6,NA,2.23692017252556
"A","subject","RL","NE","Pre-Stim",7,NA,4.58267725007138
"A","subject","RL","NE","Post-Stim",7,NA,-4.54323215436063
"A","subject","RL","NE","Pre-Stim",8,NA,4.16616830062082
"A","subject","RL","NE","Post-Stim",8,NA,-4.14119210154562
"A","subject","RL","NE","Pre-Stim",9,NA,-3.26011657403904
"A","subject","RL","NE","Post-Stim",9,NA,3.60696187042668
"A","subject","RL","NE","Pre-Stim",10,NA,0.0185617635704988
"A","subject","RL","NE","Post-Stim",10,NA,-0.063966914048034
"B","subject","UG","NE","Pre-Stim",1,NA,-3.12552002663659
"B","subject","UG","NE","Post-Stim",1,NA,2.44269656619699
"B","subject","UG","NE","Pre-Stim",2,NA,0.30505990952086
"B","subject","UG","NE","Post-Stim",2,NA,-0.994167532285351
"B","subject","UG","NE","Pre-Stim",3,NA,-2.68039341657395
"B","subject","UG","NE","Post-Stim",3,NA,2.84341308757605
"B","subject","UG","NE","Pre-Stim",4,NA,4.21451043606632
"B","subject","UG","NE","Post-Stim",4,NA,-3.70301863922119
"B","subject","UG","NE","Pre-Stim",5,NA,3.35550252274279
"B","subject","UG","NE","Post-Stim",5,NA,-2.62350141779069
"B","subject","UG","NE","Pre-Stim",6,NA,-4.45436554065512
"B","subject","UG","NE","Post-Stim",6,NA,4.05513735827342
"B","subject","UG","NE","Pre-Stim",7,NA,2.865431458778
"B","subject","UG","NE","Post-Stim",7,NA,-3.48547123666807
"B","subject","UG","NE","Pre-Stim",8,NA,0.828706790891157
"B","subject","UG","NE","Post-Stim",8,NA,-1.40349323737855
"B","subject","UG","NE","Pre-Stim",9,NA,-2.03453421164428
"B","subject","UG","NE","Post-Stim",9,NA,1.65208250658871
"B","subject","UG","NE","Pre-Stim",10,NA,4.96534343182341
"B","subject","UG","NE","Post-Stim",10,NA,-5.09542062757956
"C","trial","RL","NE","Pre-Stim",3,1,-2.62821680057741
"C","trial","RL","NE","Pre-Stim",3,2,-1.83186657106446
"C","trial","RL","NE","Pre-Stim",3,3,-3.32650180726172
"C","trial","RL","NE","Pre-Stim",3,4,-4.7054689915241
"C","trial","RL","NE","Pre-Stim",3,5,-3.71832724650144
"C","trial","RL","NE","Pre-Stim",3,6,-4.94168215080798
"C","trial","RL","NE","Pre-Stim",3,7,-1.91473837921807
"C","trial","RL","NE","Pre-Stim",3,8,-0.462633701317874
"C","trial","RL","NE","Pre-Stim",3,9,-2.67876756391146
"C","trial","RL","NE","Pre-Stim",3,10,-2.90254680847761
"C","trial","RL","NE","Pre-Stim",3,11,-2.95335254831622
"C","trial","RL","NE","Pre-Stim",3,12,-2.54814075876251
"C","trial","RL","NE","Pre-Stim",3,13,-3.91882576170771
"C","trial","RL","NE","Pre-Stim",3,14,-4.42549408610095
"C","trial","RL","NE","Pre-Stim",3,15,-4.11129055612185
"C","trial","RL","NE","Pre-Stim",3,16,-2.30035379590633
