"idx","stim","nt","trial","panel","level","time_sample","nM_raw","nM_smoothed","z_score","in_auc_window"
5,"Post-Stim","SE",28,"C","trial",-400,408.85252126424,337.40350787914,0.329116668622646,FALSE
5,"Post-Stim","SE",28,"C","trial",-300,227.734401373686,306.888527988242,0.179493195806289,FALSE
5,"Post-Stim","SE",28,"C","trial",-200,322.728605758484,319.771842798801,0.242663688142654,FALSE
5,"Post-Stim","SE",28,"C","trial",-100,330.492153770233,293.651720300799,0.11458942912256,FALSE
5,"Post-Stim","SE",28,"C","trial",0,214.176288804641,289.132349444451,0.0924296910237791,TRUE
5,"Post-Stim","SE",28,"C","trial",100,403.217256323428,315.961899632765,0.223982472235797,TRUE
5,"Post-Stim","SE",28,"C","trial",200,434.173649460439,350.522398196167,0.393442253491082,TRUE
5,"Post-Stim","SE",28,"C","trial",300,246.543766260781,361.311557348214,0.446344515490578,TRUE
5,"Post-Stim","SE",28,"C","trial",400,401.388191033471,360.701868918228,0.443355042760903,TRUE
5,"Post-Stim","SE",28,"C","trial",500,200.132273353315,282.68807688252,0.0608316220118183,TRUE
5,"Post-Stim","SE",28,"C","trial",600,358.229358604757,319.916607663846,0.243373510725765,FALSE
5,"Post-Stim","SE",28,"C","trial",700,269.955075922316,276.105569293461,0.0285557480365934,FALSE
5,"Post-Stim","SE",28,"C","trial",800,339.269468375594,322.484634300887,0.255965262878079,FALSE
