"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","DA","Post-Stim",3,1,NA,0.519934059250505
"A","trial","RL","DA","Post-Stim",3,2,NA,0.509263192432911
"A","trial","RL","DA","Post-Stim",3,3,NA,1.75979974347967
"A","trial","RL","DA","Post-Stim",3,4,NA,2.91132328345096
"A","trial","RL","DA","Post-Stim",3,5,NA,2.07382922013504
"A","trial","RL","DA","Post-Stim",3,6,NA,1.45606244497032
"A","trial","RL","DA","Post-Stim",3,7,NA,1.12230150577549
"A","trial","RL","DA","Post-Stim",3,8,NA,4.28055672992612
"A","trial","RL","DA","Post-Stim",3,9,NA,1.11672031628335
"A","trial","RL","DA","Post-Stim",3,10,NA,3.01205478136491
"A","trial","RL","DA","Post-Stim",3,11,NA,4.10090008358706
"A","trial","RL","DA","Post-Stim",3,12,NA,4.16567659889047
"A","trial","RL","DA","Post-Stim",3,13,NA,4.22226805465315
"A","trial","RL","DA","Post-Stim",3,14,NA,6.8826766700213
"A","trial","RL","DA","Post-Stim",3,15,NA,5.496808781557
"A","trial","RL","DA","Post-Stim",3,16,NA,5.79640138365113
"A","trial","RL","DA","Post-Stim",3,17,NA,1.81345037740188
"A","trial","RL","DA","Post-Stim",3,18,NA,3.1925540905315
"A","trial","RL","DA","Post-Stim",3,20,NA,3.44973743854645
"A","trial","RL","DA","Post-Stim",3,21,NA,2.9678214228532
"A","trial","RL","DA","Post-Stim",3,22,NA,1.458370129072
"A","trial","RL","DA","Post-Stim",3,23,NA,7.06226523775089
"A","trial","RL","DA","Post-Stim",3,24,NA,3.52128925464347
"A","trial","RL","DA","Post-Stim",3,25,NA,2.55345512287253
"A","trial","RL","DA","Post-Stim",3,26,NA,3.67279346850163
"A","trial","RL","DA","Post-Stim",3,27,NA,1.9275862348648
"A","trial","RL","DA","Post-Stim",3,28,NA,3.86749391885187
"A","trial","RL","DA","Post-Stim",3,29,NA,4.47030026525182
"A","trial","RL","DA","Post-Stim",3,30,NA,2.63603536770492
"A","trial","RL","DA","Post-Stim",3,31,NA,5.95469336782625
"A","trial","RL","DA","Post-Stim",3,32,NA,1.99446984592041
"A","trial","RL","DA","Post-Stim",3,33,NA,5.12851263074001
"A","trial","RL","DA","Post-Stim",3,34,NA,0.0603574589172413
"A","trial","RL","DA","Post-Stim",3,35,NA,5.77484288030562
"A","trial","RL","DA","Post-Stim",3,36,NA,2.95149010814909
"A","trial","RL","DA","Post-Stim",3,37,NA,1.77255620748159
"A","trial","RL","DA","Post-Stim",3,38,NA,2.93063059676121
"A","trial","RL","DA","Post-Stim",3,39,NA,0.286166150114319
"A","trial","RL","DA","Post-Stim",3,40,NA,5.55499284213372
"A","trial","RL","DA","Post-Stim",3,41,NA,4.25746046821268
"A","trial","RL","DA","Post-Stim",3,42,NA,4.52035335376985
"A","trial","RL","DA","Post-Stim",3,43,NA,5.35969452407901
