"panel","level","task","nt","stim","idx","trial","Oz"
"A","trial","RL","SE","Pre-Stim",3,1,-5.17075420361577
"A","trial","RL","SE","Pre-Stim",3,2,-5.62469125644257
"A","trial","RL","SE","Pre-Stim",3,3,-4.33105869999043
"A","trial","RL","SE","Pre-Stim",3,4,-4.51234452567482
"A","trial","RL","SE","Pre-Stim",3,5,-5.56200975361046
"A","trial","RL","SE","Pre-Stim",3,6,2.98982370381751
"A","trial","RL","SE","Pre-Stim",3,7,-8.3028497783223
"A","trial","RL","SE","Pre-Stim",3,8,0.23153770700258
"A","trial","RL","SE","Pre-Stim",3,9,-5.44561320818452
"A","trial","RL","SE","Pre-Stim",3,10,-10.0103183550613
"A","trial","RL","SE","Pre-Stim",3,11,-5.02415260506532
"A","trial","RL","SE","Pre-Stim",3,12,-1.35889465608531
"A","trial","RL","SE","Pre-Stim",3,13,-3.42562743228488
"A","trial","RL","SE","Pre-Stim",3,14,-3.96609388806696
"A","trial","RL","SE","Pre-Stim",3,15,-0.622424428960272
"A","trial","RL","SE","Pre-Stim",3,16,-1.99065736779176
"A","trial","RL","SE","Pre-Stim",3,17,-2.52076798013121
"A","trial","RL","SE","Pre-Stim",3,18,0.556163238372971
"A","trial","RL","SE","Pre-Stim",3,19,1.08204397140719
"A","trial","RL","SE","Pre-Stim",3,20,-0.516916381111204
"A","trial","RL","SE","Pre-Stim",3,21,-2.65578078682496
"A","trial","RL","SE","Pre-Stim",3,22,-2.55628380195569
"A","trial","RL","SE","Pre-Stim",3,23,0.255648262795509
"A","trial","RL","SE","Pre-Stim",3,24,-0.879751133407702
"A","trial","RL","SE","Pre-Stim",3,25,-3.22663688605866
"A","trial","RL","SE","Pre-Stim",3,26,-0.65473524237141
"A","trial","RL","SE","Pre-Stim",3,27,-1.09417909240308
"A","trial","RL","SE","Pre-Stim",3,28,-0.279236642949199
"A","trial","RL","SE","Pre-Stim",3,29,-0.180997912206403
"A","trial","RL","SE","Pre-Stim",3,30,1.86849261569619
"A","trial","RL","SE","Pre-Stim",3,31,0.781364448417545
"A","trial","RL","SE","Pre-Stim",3,32,0.817340140369959
"A","trial","RL","SE","Pre-Stim",3,33,-1.61288480901912
"A","trial","RL","SE","Pre-Stim",3,34,2.64055008782024
"A","trial","RL","SE","Pre-Stim",3,35,-0.158325842930438
"A","trial","RL","SE","Pre-Stim",3,36,-0.46573275508627
"A","trial","RL","SE","Pre-Stim",3,37,0.798029860145546
"A","trial","RL","SE","Pre-Stim",3,38,-3.29104620488618
"A","trial","RL","SE","Pre-Stim",3,39,2.74030297306989
"A","trial","RL","SE","Pre-Stim",3,40,3.53423116386132
"A","trial","RL","SE","Pre-Stim",3,41,1.28375021889882
"A","trial","RL","SE","Pre-Stim",3,42,0.597065716480375
"A","trial","RL","SE","Pre-Stim",3,43,0.225535504197939
"A","trial","RL","SE","Pre-Stim",3,44,5.44315245911262
"A","trial","RL","SE","Pre-Stim",3,45,0.883985887752489
"A","trial","RL","SE","Pre-Stim",3,46,2.22489356181078
"A","trial","RL","SE","Pre-Stim",3,47,3.33360993127122
"A","trial","RL","SE","Pre-Stim",3,48,0.0645577438070964
"A","trial","RL","SE","Pre-Stim",3,49,0.0188096010262188
"A","trial","RL","SE","Pre-Stim",3,50,0.172539465059971
"A","trial","RL","SE","Pre-Stim",3,51,-1.31857987064499
"A","trial","RL","SE","Pre-Stim",3,52,10.3671372190125
"A","trial","RL","SE","Pre-Stim",3,53,7.62738145638179
"A","trial","RL","SE","Pre-Stim",3,54,-1.06232597424303
"A","trial","RL","SE","Pre-Stim",3,55,5.36750163655029
"A","trial","RL","SE","Pre-Stim",3,56,3.3389988203256
"A","trial","RL","SE","Pre-Stim",3,57,0.85900143648692
"A","trial","RL","SE","Pre-Stim",3,58,3.3747670008741
"A","trial","RL","SE","Pre-Stim",3,59,-1.81429109392766
"A","trial","RL","SE","Pre-Stim",3,60,2.89719357947102
"A","trial","RL","SE","Pre-Stim",3,61,1.02737582159183
"A","trial","RL","SE","Pre-Stim",3,62,2.5825475842176
"A","trial","RL","SE","Pre-Stim",3,63,-1.56029866259377
"A","trial","RL","SE","Pre-Stim",3,64,3.0168676607344
"A","trial","RL","SE","Pre-Stim",3,65,1.7211709249274
"A","trial","RL","SE","Pre-Stim",3,66,3.67191289552141
"A","trial","RL","SE","Pre-Stim",3,67,3.14535133296947
"A","trial","RL","SE","Pre-Stim",3,68,1.83668925134637
"A","trial","RL","SE","Pre-Stim",3,69,2.32946822470787
"A","trial","RL","SE","Pre-Stim",3,70,1.09442276050858
"A","trial","RL","SE","Pre-Stim",3,71,4.22513863452517
"A","trial","RL","SE","Pre-Stim",3,72,3.31372513621502
"A","trial","RL","SE","Pre-Stim",3,73,5.47811938496657
"A","trial","RL","SE","Pre-Stim",3,74,-5.67730679607869
"A","trial","RL","SE","Pre-Stim",3,75,2.78032351010074
"A","trial","RL","SE","Pre-Stim",3,76,3.88389127918592
"A","trial","RL","SE","Pre-Stim",3,77,-1.78542881778523
"A","trial","RL","SE","Pre-Stim",3,78,18.5919670539361
"A","trial","RL","SE","Pre-Stim",3,79,3.44263548155232
"A","trial","RL","SE","Pre-Stim",3,80,-0.399008269846136
"A","trial","RL","SE","Pre-Stim",3,81,1.50632497859994
"A","trial","RL","SE","Pre-Stim",3,82,1.14487735346987
"A","trial","RL","SE","Pre-Stim",3,83,-0.308116777114427
"A","trial","RL","SE","Pre-Stim",3,84,-3.94318896323514
"A","trial","RL","SE","Pre-Stim",3,85,0.882814851231324
"A","trial","RL","SE","Pre-Stim",3,86,0.659434496903438
